version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Smultron,,Rosväxter,HallMark,Smultron,https://sv.wikipedia.org/wiki/Smultron,Fragaria vesca,,,,,,,,,,304,
Vår-/småfingerört,,Rosväxter,HallMark,Var_smafingerort,https://sv.wikipedia.org/wiki/V%C3%A5r-/sm%C3%A5finger%C3%B6rt,Potentilla crantzii/P. verna,,,,,,,,,,299,
Bergsyra,,Slideväxter,HallMark,Bergsyra,https://sv.wikipedia.org/wiki/Bergsyra,Rumex acetosella,,,,,,,,Torr,,100,
Getrams,,Sparrisväxter,HallMark,Getrams,https://sv.wikipedia.org/wiki/Getrams,Polygonatum odoratum,,,,,,,,,,686,
Grusbräcka,,Stenbräckeväxter,HallMark,Grusbracka,https://sv.wikipedia.org/wiki/Grusbr%C3%A4cka,Saxifraga tridactylites,,,,,,,,Torr,,249,
Mandelblom,,Stenbräckeväxter,HallMark,Mandelblom,https://sv.wikipedia.org/wiki/Mandelblom,Saxifraga granulata,,,,,,,,Torr,,250,
Stensöta,,Stensöteväxter,HallMark,Stensota,https://sv.wikipedia.org/wiki/Stens%C3%B6ta,Polypodium vulgare,,,,,,,,,,45,
Back-/brok-/vårförgätmigej,,Strävbladiga,HallMark,Back_brok_varforgatmigej,https://sv.wikipedia.org/wiki/Backf%C3%B6rg%C3%A4tmigej,Myosotis ramosissima/M. discolor/M. stricta,,,,,,,,,,496,
Åkerförgätmigej,,Strävbladiga,HallMark,Akerforgatmigej,http://sv.wikipedia.org/wiki/%C3%85kerf%C3%B6rg%C3%A4tmigej,Myosotis arvensis,,,,,,,,,,496,
Trift,,Triftväxter,HallMark,Trift,https://sv.wikipedia.org/wiki/Trift,Armeria maritima,,,,,,,,,,467,
Åkerviol,,Violväxter,HallMark,Akerviol,https://sv.wikipedia.org/wiki/%C3%85kerviol,Viola arvensis,,,,,,,,Frisk,,403,
Styvmorsviol,,Violväxter,HallMark,Styvmorsviol,https://sv.wikipedia.org/wiki/Styvmorsviol,Viola tricolor,,,,,,,,Torr,,402,
Harklöver,,Ärtväxter,HallMark,Harklover,https://sv.wikipedia.org/wiki/Harkl%C3%B6ver,Trifolium arvense,,,,,,,,Torr,,358,
Jättebalsamin,,Balsaminväxter,SmaProvArt,Jattebalsamin,https://sv.wikipedia.org/wiki/J%C3%A4ttebalsamin,Impatiens glandulifera,sprov,Stor art,,,,,,,,385,
Slåtterblomma,,Benvedsväxter,SmaProvArt,Slatterblomma,https://sv.wikipedia.org/wiki/Sl%C3%A5tterblomma,Parnassia palustris,sprov,,,,,,,,,257,
